file,folder,label,img_w,img_h,x1,y1,x2,y2,w,h,area,w_rel,h_rel,area_rel
D:\nguye\Downloads\Watch_face\Camera Roll\0\WIN_20251108_14_52_47_Pro.json,0,face,1280,720,588.3870967741937,244.6774193548387,875.483870967742,512.4193548387098,287.0967741935483,267.7419354838711,76867.84599375652,0.2242943548387096,0.3718637992831543,0.0834069509480865
D:\nguye\Downloads\Watch_face\Camera Roll\0\WIN_20251108_14_52_47_Pro.json,0,knob,1280,720,885.9677419354839,351.12903225806446,905.3225806451613,384.99999999999994,19.354838709677438,33.87096774193549,655.5671175858488,0.015120967741935498,0.04704301075268818,0.0007113358480749227
D:\nguye\Downloads\Watch_face\Camera Roll\0\WIN_20251108_14_53_02_Pro.json,0,face,1280,720,560.1612903225807,290.64516129032256,722.2580645161291,447.9032258064516,162.0967741935484,157.25806451612902,25491.024973985433,0.1266381048387097,0.21841397849462366,0.027659532306841834
D:\nguye\Downloads\Watch_face\Camera Roll\0\WIN_20251108_14_53_02_Pro.json,0,knob,1280,720,734.3548387096774,353.54838709677415,745.6451612903227,376.12903225806446,11.290322580645238,22.580645161290306,254.9427679500536,0.008820564516129092,0.03136200716845876,0.0002766306075846936
D:\nguye\Downloads\Watch_face\Camera Roll\0\WIN_20251108_14_53_05_Pro.json,0,face,1280,720,549.6774193548388,308.3870967741935,665.8064516129033,423.7096774193548,116.12903225806451,115.32258064516134,13392.299687825187,0.0907258064516129,0.1601702508960574,0.014531575182101982
D:\nguye\Downloads\Watch_face\Camera Roll\0\WIN_20251108_14_53_05_Pro.json,0,knob,1280,720,674.6774193548388,351.12903225806446,685.1612903225807,370.4838709677419,10.48387096774195,19.354838709677438,202.91363163371537,0.008190524193548399,0.02688172043010755,0.00022017538154700018
D:\nguye\Downloads\Watch_face\Camera Roll\0\WIN_20251108_14_53_08_Pro.json,0,face,1280,720,565.0000000000001,379.3548387096774,672.2580645161291,476.9354838709677,107.25806451612902,97.5806451612903,10466.31113423517,0.0837953629032258,0.13552867383512543,0.011356674407807259
D:\nguye\Downloads\Watch_face\Camera Roll\0\WIN_20251108_14_53_08_Pro.json,0,knob,1280,720,677.9032258064517,418.0645161290322,685.1612903225807,431.7741935483871,7.258064516129025,13.709677419354875,99.50572320499496,0.0056703629032258005,0.019041218637992883,0.00010797061979708655
D:\nguye\Downloads\Watch_face\Camera Roll\0\WIN_20251108_14_53_13_Pro.json,0,face,1280,720,402.0967741935484,218.87096774193546,824.6774193548388,618.8709677419355,422.58064516129036,400.0,169032.25806451615,0.3301411290322581,0.5555555555555556,0.18341173835125452
D:\nguye\Downloads\Watch_face\Camera Roll\0\WIN_20251108_14_53_13_Pro.json,0,knob,1280,720,842.4193548387098,389.0322580645161,876.2903225806452,442.25806451612897,33.87096774193549,53.22580645161287,1802.8095733610812,0.0264616935483871,0.07392473118279565,0.001956173582206034
D:\nguye\Downloads\Watch_face\Camera Roll\0\WIN_20251108_14_53_17_Pro.json,0,face,1280,720,495.64516129032256,323.7096774193548,610.9677419354839,436.6129032258064,115.32258064516134,112.90322580645159,13020.291363163375,0.09009576612903229,0.15681003584229386,0.014127920315932482
D:\nguye\Downloads\Watch_face\Camera Roll\0\WIN_20251108_14_53_17_Pro.json,0,knob,1280,720,615.8064516129033,376.12903225806446,621.4516129032259,397.09677419354836,5.645161290322562,20.9677419354839,118.3662851196668,0.004410282258064502,0.029121863799283196,0.00012843563923574955
D:\nguye\Downloads\Watch_face\Camera Roll\0\WIN_20251108_15_00_41_Pro.json,0,face,1280,720,513.3870967741937,46.29032258064514,811.7741935483872,346.2903225806451,298.38709677419354,300.0,89516.12903225806,0.2331149193548387,0.4166666666666667,0.09713121639784945
D:\nguye\Downloads\Watch_face\Camera Roll\0\WIN_20251108_15_00_41_Pro.json,0,knob,1280,720,829.5161290322582,169.6774193548387,849.6774193548388,206.77419354838707,20.161290322580612,37.096774193548384,747.9188345473452,0.015751008064516105,0.05152329749103942,0.0008115438742918242
